,Magnet_X,Magnet_Y,Magnet_Z,Pose_X,Pose_Y,Pose_Z,Tx_1,Ty_1,Tz_1,Tx_2,Ty_2,Tz_2,Tx_3,Ty_3,Tz_3,Tx_4,Ty_4,Tz_4,Tx_5,Ty_5,Tz_5,Tx_6,Ty_6,Tz_6,Tx_7,Ty_7,Tz_7,Tx_8,Ty_8,Tz_8,Tx_9,Ty_9,Tz_9,Tx_10,Ty_10,Tz_10,Tx_11,Ty_11,Tz_11,Tx_12,Ty_12,Tz_12,Tx_13,Ty_13,Tz_13,Tx_14,Ty_14,Tz_14,Tx_15,Ty_15,Tz_15,Tx_16,Ty_16,Tz_16
2379,-0.06,-0.06,0.078,0,0,1,42.32337274,-24.60363201,-25.71628826,18.87706474,-3.08907365,-11.21496102,1.959114847,16.44797174,2.971872139,16.24487064,16.23941133,-106.4453402,12.78009347,-1.444348962,0.200760948,30.62907606,23.67958952,-109.8026239,25.95871974,42.44089535,-16.1621041,-9.087490733,40.56981826,-40.28092993,35.80896321,-27.05935438,1.621448267,62.47103634,34.78439723,-9.995069541,98.89941753,89.08902449,-255.3437513,-94.95195941,93.51134161,-165.1122764,44.49055392,-16.94191899,10.74410985,73.18102643,-40.0584513,-36.16273385,91.42428092,-89.07829187,-174.1306502,-79.83858226,-101.8390386,-154.2662281
2380,-0.075,-0.06,0.078,0,0,1,41.73492607,-25.34221355,-25.74872031,18.63541767,-4.933761063,-11.05864267,2.683313751,14.65942845,3.36273286,17.80412804,17.28420399,-106.0719549,10.41489358,-3.11230131,-0.194774196,27.33125949,18.31815097,-107.6278315,30.48511372,33.18481461,-12.01648263,-0.661204564,47.41773264,-43.34040855,31.14717388,-27.9179328,1.808359444,48.34354918,28.40793466,-2.218791804,105.5906791,63.49048267,-203.8852704,-61.46821938,117.0670013,-213.553557,39.39974179,-15.69051149,10.74310244,59.94581386,-33.21187632,-27.91886012,99.08283675,-62.86138252,-126.0621273,-46.33042491,-125.2551826,-200.8739538
2381,-0.09,-0.06,0.078,0,0,1,41.78137201,-26.26425133,-26.14075894,18.07818207,-6.471775183,-11.40213486,3.591496638,12.83142251,3.457377784,19.51470656,17.42224463,-105.6091907,8.70206107,-4.089978989,-0.486927115,23.63913689,13.71035799,-106.2973188,30.99234922,23.22729534,-7.140819303,9.87687207,49.92206028,-43.45698425,27.82553174,-28.47845759,1.869769779,37.26342335,24.43092719,1.630851294,93.39597805,40.97271108,-160.9542617,0.176710147,127.0835227,-233.0244704,35.23718261,-15.02419787,10.93712028,48.99331093,-28.28097162,-23.43280265,89.30260683,-40.1054777,-86.30058293,14.47300495,-131.8520229,-221.6786787
2382,0.09,-0.075,0.078,0,0,1,38.73665545,-16.00257784,-24.84320833,10.06893556,-2.427556942,-10.81735734,-5.133064126,5.772824899,2.171551251,16.62893989,2.595131916,-107.3696412,3.399411422,38.78128012,-9.075737365,-5.47990344,31.62460929,-109.7403243,-3.552460904,-2.985266579,-0.364077676,3.393178243,-9.371064709,-25.17416262,19.32830886,104.2479554,-133.0188083,-61.19885221,68.04860956,-35.59721704,-19.95300559,3.05554363,-106.7911033,-9.035455022,5.091522072,-20.41920411,14.15345384,-100.9038938,-292.6070801,-83.71154357,-48.11711631,-90.29818973,-27.30678324,-0.977936614,-34.96566209,4.829356873,-8.188141727,-10.93228494
2383,0.075,-0.075,0.078,0,0,1,39.41937275,-16.14454288,-25.22094235,10.24142016,-1.157900196,-10.98875479,-5.283867716,6.629558523,2.50113328,16.21671557,2.933210284,-107.3196944,9.569379167,37.1138019,-9.719221693,-4.275607624,37.89705174,-112.3338948,-5.401231632,-0.3723219,-1.131034176,2.056909215,-9.17932238,-24.89884557,61.60967828,94.93139406,-124.8467143,-67.5517676,89.89023929,-61.73755745,-29.1390358,7.729474369,-109.8699581,-11.86228098,5.808159129,-19.88681566,100.1137871,-96.49892927,-265.3622356,-100.6005096,-64.11325805,-140.5812484,-39.14908187,-3.396453573,-39.55570929,1.820790438,-8.542852343,-10.60134327
2384,0.06,-0.075,0.078,0,0,1,40.41621562,-17.09288268,-24.12539798,11.69403293,-1.265945669,-9.9087706,-5.302774907,7.610561447,3.275846324,16.05166401,3.493867054,-106.1702706,14.22977125,32.79896189,-6.648005575,-0.766493488,43.49833397,-113.099014,-6.946130302,4.025338631,-0.34572686,2.00092008,-7.652764972,-24.5564322,86.99962063,73.63088165,-94.82777034,-59.70279787,115.8888729,-90.42688418,-38.51621986,15.90210332,-114.2457497,-14.46551975,7.043344033,-19.79699395,151.5966979,-76.66978861,-197.872284,-97.45143476,-80.61341219,-212.0096756,-55.16757125,-6.128001464,-49.47610794,-2.819506371,-9.07209868,-10.94234846
2385,0.045,-0.075,0.078,0,0,1,41.41013475,-17.85662095,-24.24664483,12.35711188,-0.443437535,-9.99395457,-5.321223173,8.840206671,3.738078645,15.60238109,4.120074869,-106.5430052,17.80982771,27.42898769,-4.841238185,4.58120705,47.62064176,-114.9940922,-7.953372176,9.200524356,-1.60836535,0.35116815,-5.855173547,-24.04623208,95.09209844,46.77237786,-64.22013066,-33.69253395,137.1599195,-117.6952998,-50.22927609,27.31277316,-125.003793,-19.66109391,9.934796485,-19.97772059,160.6932719,-58.52629387,-122.8794903,-57.83377245,-98.24383486,-278.5337182,-74.89009071,-11.38171617,-67.86528025,-9.131455539,-10.11757271,-11.63647315
2386,0.03,-0.075,0.078,0,0,1,42.60573634,-19.23684737,-24.15874593,13.70736466,-0.042841793,-10.12748236,-4.530199632,10.68448902,3.439095642,15.30735495,4.96897279,-106.1294623,19.5919362,20.06927571,-2.766750784,12.05197086,49.03084661,-115.9909832,-8.213424993,15.55538184,-3.759981896,-2.090853638,-3.321364169,-24.30121236,89.54876485,21.85196817,-36.8519572,9.453518162,145.3883345,-129.2132516,-61.73926823,44.8124122,-144.2612679,-27.4708824,12.93445092,-21.73359479,143.624227,-42.94000219,-61.56464869,19.26783253,-105.4310323,-308.0470074,-97.01798368,-21.52250232,-101.9647859,-18.53493069,-11.90723204,-14.47771389
2387,0.015,-0.075,0.078,0,0,1,42.19608154,-20.13880336,-24.25708185,14.25770961,-0.212690019,-10.20719962,-4.379964448,11.96653026,3.005396174,14.9064269,6.42784023,-106.1632524,19.45716166,14.75398884,-1.775993674,17.85442273,48.4470057,-115.9315379,-7.303169097,21.4495129,-5.458768013,-3.837431317,-0.266673168,-24.76903041,78.03436493,4.761629463,-20.35329534,49.42492901,136.6270393,-119.058307,-68.39436724,66.68028061,-169.0114359,-35.27469761,17.33178319,-24.19182584,118.139506,-33.22113583,-26.65316385,91.56731932,-99.61668271,-281.6720267,-113.0515883,-36.33639935,-150.9054121,-30.44753805,-14.62943587,-18.52243326
2388,0,-0.075,0.078,0,0,1,42.39485347,-21.91836823,-24.61229742,15.06483669,-0.938452671,-10.61945173,-3.169535618,12.21390029,3.342887624,15.17971419,7.166449048,-106.152582,17.3835907,9.332827207,-0.692071729,22.03887383,43.92570081,-113.8102911,-3.955947342,26.70953874,-6.560413433,-5.134822465,3.191547727,-24.76325965,64.41239295,-6.665953223,-9.621428695,74.6513403,116.3674206,-89.24714964,-60.73783787,92.61136694,-198.3014652,-45.22607756,25.47592389,-29.06342687,94.67756187,-25.19236122,-7.641959283,133.6870573,-79.83926525,-217.6788773,-110.1285788,-51.60429163,-217.4029969,-47.1656761,-18.09373068,-28.17115524
